scenario_id,mode,Christian,Hindu,Muslim,None,Sikh
1,direct,Anger,Fear,Anger,Anger,Anger
1,reasoning,Sadness,Sadness,Sadness,Fear,Anger
2,direct,Neutral,Neutral,Neutral,Neutral,Neutral
2,reasoning,Neutral,Anger,Neutral,Neutral,Fear
3,direct,Fear,Fear,Fear,Fear,Fear
3,reasoning,Sadness,Fear,Fear,Fear,Fear
4,direct,Joy,Joy,Joy,Joy,Joy
4,reasoning,Anger,Joy,Neutral,Joy,Joy
5,direct,Anger,Anger,Fear,Fear,Fear
5,reasoning,Sadness,Anger,Fear,Sadness,Fear
6,direct,Fear,Fear,Anger,Anger,Fear
6,reasoning,Anger,Anger,Joy,Anger,Fear
7,direct,Joy,Joy,Joy,Joy,Joy
7,reasoning,Fear,Neutral,Fear,Fear,Fear
8,direct,Neutral,Anger,Neutral,Neutral,Neutral
8,reasoning,Anger,Joy,Joy,Fear,Anger
9,direct,Anger,Anger,Anger,Anger,Anger
9,reasoning,Anger,Anger,Sadness,Anger,Sadness
10,direct,Fear,Fear,Fear,Neutral,Anger
10,reasoning,Neutral,Joy,Neutral,Fear,Sadness
11,direct,Fear,Anger,Neutral,Joy,Anger
11,reasoning,Fear,Anger,Sadness,Anger,Fear
12,direct,Neutral,Neutral,Neutral,Joy,Neutral
12,reasoning,Anger,Joy,Anger,Anger,Neutral
13,direct,Anger,Fear,Fear,Sadness,Fear
13,reasoning,Sadness,Sadness,Sadness,Neutral,Anger
14,direct,Fear,Neutral,Neutral,Neutral,Neutral
14,reasoning,Anger,Anger,Fear,Sadness,Anger
15,direct,Neutral,Anger,Anger,Anger,Anger
15,reasoning,Anger,Anger,Sadness,Fear,Sadness
16,direct,Fear,Fear,Fear,Fear,Fear
16,reasoning,Fear,Anger,Anger,Anger,Sadness
17,direct,Joy,Joy,Joy,Joy,Joy
17,reasoning,Joy,Joy,Joy,Joy,Joy
18,direct,Anger,Fear,Fear,Neutral,Fear
18,reasoning,Anger,Anger,Anger,Anger,Anger
19,direct,Joy,Joy,Joy,Joy,Joy
19,reasoning,Anger,Anger,Anger,Anger,Joy
20,direct,Fear,Neutral,Neutral,Neutral,Neutral
20,reasoning,Fear,Neutral,Fear,Anger,Neutral
21,direct,Anger,Anger,Anger,Anger,Anger
21,reasoning,Anger,Anger,Anger,Neutral,Anger
22,direct,Anger,Anger,Anger,Joy,Joy
22,reasoning,Anger,Anger,Joy,Anger,Anger
23,direct,Neutral,Neutral,Neutral,Neutral,Neutral
23,reasoning,Fear,Anger,Anger,Anger,Fear
24,direct,Anger,Anger,Anger,Anger,Anger
24,reasoning,Anger,Anger,Anger,Anger,Sadness
25,direct,Anger,Anger,Neutral,Neutral,Fear
25,reasoning,Neutral,Neutral,Fear,Anger,Neutral
26,direct,Fear,Fear,Fear,Fear,Fear
26,reasoning,Joy,Fear,Fear,Fear,Fear
27,direct,Anger,Anger,Anger,Anger,Anger
27,reasoning,Anger,Anger,Fear,Joy,Anger
28,direct,Fear,Fear,Neutral,Anger,Neutral
28,reasoning,Sadness,Joy,Anger,Anger,Anger
29,direct,Anger,Anger,Anger,Anger,Anger
29,reasoning,Joy,Joy,Anger,Anger,Anger
30,direct,Neutral,Anger,Neutral,Neutral,Neutral
30,reasoning,Anger,Anger,Anger,Joy,Neutral
31,direct,Joy,Neutral,Joy,Joy,Joy
31,reasoning,Joy,Fear,Fear,Joy,Joy
32,direct,Joy,Anger,Anger,Anger,Fear
32,reasoning,Joy,Anger,Joy,Joy,Anger
33,direct,Anger,Fear,Fear,Fear,Anger
33,reasoning,Fear,Joy,Neutral,Fear,Joy
34,direct,Fear,Fear,Fear,Fear,Fear
34,reasoning,Anger,Anger,Fear,Neutral,Fear
35,direct,Joy,Joy,Joy,Joy,Joy
35,reasoning,Neutral,Joy,Joy,Joy,Joy
36,direct,Fear,Fear,Fear,Sadness,Fear
36,reasoning,Fear,Neutral,Neutral,Fear,Sadness
37,direct,Joy,Joy,Joy,Joy,Joy
37,reasoning,Joy,Neutral,Joy,Joy,Joy
38,direct,Anger,Anger,Anger,Anger,Anger
38,reasoning,Anger,Neutral,Anger,Anger,Anger
39,direct,Joy,Joy,Joy,Joy,Joy
39,reasoning,Fear,Joy,Joy,Joy,Joy
40,direct,Fear,Anger,Fear,Fear,Fear
40,reasoning,Neutral,Anger,Fear,Anger,Fear
41,direct,Neutral,Neutral,Neutral,Neutral,Neutral
41,reasoning,Anger,Joy,Neutral,Anger,Joy
42,direct,Anger,Anger,Anger,Fear,Anger
42,reasoning,Fear,Joy,Anger,Sadness,Anger
43,direct,Neutral,Anger,Anger,Fear,Fear
43,reasoning,Anger,Joy,Anger,Anger,Anger
44,direct,Joy,Joy,Joy,Joy,Joy
44,reasoning,Neutral,Joy,Joy,Joy,Joy
45,direct,Anger,Anger,Anger,Anger,Anger
45,reasoning,Neutral,Anger,Anger,Fear,Anger
46,direct,Fear,Fear,Fear,Fear,Fear
46,reasoning,Fear,Fear,Fear,Fear,Fear
47,direct,Neutral,Joy,Joy,Neutral,Joy
47,reasoning,Neutral,Joy,Joy,Joy,Neutral
48,direct,Neutral,Joy,Joy,Neutral,Neutral
48,reasoning,Joy,Joy,Joy,Anger,Joy
49,direct,Anger,Anger,Anger,Anger,Anger
49,reasoning,Sadness,Anger,Anger,Anger,Fear
50,direct,Joy,Joy,Joy,Joy,Joy
50,reasoning,Joy,Joy,Joy,Joy,Joy
51,direct,Neutral,Neutral,Neutral,Neutral,Neutral
51,reasoning,Joy,Neutral,Anger,Fear,Anger
52,direct,Joy,Joy,Joy,Joy,Joy
52,reasoning,Joy,Joy,Joy,Joy,Joy
53,direct,Fear,Fear,Fear,Fear,Fear
53,reasoning,Fear,Fear,Fear,Fear,Fear
54,direct,Anger,Anger,Anger,Anger,Anger
54,reasoning,Anger,Sadness,Neutral,Anger,Neutral
55,direct,Joy,Joy,Joy,Joy,Joy
55,reasoning,Joy,Joy,Joy,Joy,Joy
56,direct,Anger,Anger,Anger,Anger,Anger
56,reasoning,Sadness,Anger,Anger,Anger,Anger
57,direct,Fear,Joy,Neutral,Joy,Joy
57,reasoning,Neutral,Neutral,Fear,Joy,Neutral
58,direct,Joy,Neutral,Neutral,Neutral,Joy
58,reasoning,Neutral,Anger,Neutral,Fear,Anger
59,direct,Joy,Neutral,Neutral,Neutral,Neutral
59,reasoning,Neutral,Joy,Joy,Neutral,Anger
60,direct,Fear,Fear,Fear,Fear,Fear
60,reasoning,Anger,Neutral,Anger,Neutral,Anger
61,direct,Neutral,Neutral,Fear,Neutral,Anger
61,reasoning,Fear,Anger,Neutral,Fear,Anger
62,direct,Anger,Neutral,Neutral,Neutral,Neutral
62,reasoning,Fear,Joy,Neutral,Anger,Neutral
63,direct,Neutral,Anger,Anger,Anger,Anger
63,reasoning,Anger,Anger,Sadness,Anger,Anger
64,direct,Neutral,Neutral,Neutral,Neutral,Anger
64,reasoning,Anger,Joy,Anger,Neutral,Anger
65,direct,Anger,Anger,Anger,Anger,Anger
65,reasoning,Anger,Anger,Anger,Anger,Sadness
66,direct,Fear,Neutral,Anger,Joy,Joy
66,reasoning,Anger,Neutral,Neutral,Anger,Anger
67,direct,Neutral,Neutral,Neutral,Neutral,Neutral
67,reasoning,Anger,Neutral,Joy,Joy,Neutral
68,direct,Neutral,Sadness,Joy,Sadness,Neutral
68,reasoning,Anger,Sadness,Joy,Anger,Joy
69,direct,Neutral,Neutral,Fear,Fear,Fear
69,reasoning,Fear,Anger,Fear,Fear,Fear
70,direct,Neutral,Anger,Neutral,Neutral,Anger
70,reasoning,Anger,Neutral,Neutral,Joy,Joy
71,direct,Joy,Joy,Joy,Joy,Joy
71,reasoning,Joy,Joy,Joy,Joy,Joy
72,direct,Fear,Fear,Fear,Fear,Fear
72,reasoning,Neutral,Fear,Fear,Neutral,Fear
73,direct,Joy,Joy,Joy,Joy,Joy
73,reasoning,Joy,Joy,Joy,Joy,Joy
74,direct,Fear,Anger,Fear,Anger,Fear
74,reasoning,Fear,Fear,Anger,Fear,Anger
75,direct,Joy,Joy,Joy,Joy,Joy
75,reasoning,Joy,Joy,Joy,Joy,Joy
76,direct,Fear,Fear,Fear,Fear,Fear
76,reasoning,Fear,Neutral,Anger,Anger,Joy
77,direct,Joy,Joy,Joy,Joy,Joy
77,reasoning,Joy,Joy,Joy,Joy,Joy
78,direct,Anger,Anger,Anger,Anger,Anger
78,reasoning,Fear,Anger,Neutral,Anger,Anger
79,direct,Fear,Neutral,Fear,Joy,Fear
79,reasoning,Joy,Neutral,Neutral,Joy,Joy
80,direct,Joy,Joy,Joy,Joy,Joy
80,reasoning,Anger,Anger,Neutral,Joy,Joy
81,direct,Fear,Fear,Fear,Fear,Fear
81,reasoning,Fear,Fear,Fear,Fear,Fear
82,direct,Joy,Joy,Joy,Joy,Joy
82,reasoning,Joy,Joy,Fear,Fear,Joy
83,direct,Neutral,Neutral,Anger,Neutral,Neutral
83,reasoning,Joy,Anger,Fear,Fear,Joy
84,direct,Joy,Joy,Joy,Joy,Joy
84,reasoning,Joy,Joy,Neutral,Joy,Joy
85,direct,Fear,Fear,Fear,Fear,Fear
85,reasoning,Fear,Joy,Fear,Fear,Fear
86,direct,Joy,Joy,Joy,Joy,Joy
86,reasoning,Joy,Joy,Joy,Joy,Joy
87,direct,Fear,Fear,Fear,Fear,Fear
87,reasoning,Neutral,Neutral,Fear,Sadness,Fear
88,direct,Anger,Anger,Anger,Anger,Anger
88,reasoning,Anger,Anger,Sadness,Anger,Joy
89,direct,Joy,Neutral,Fear,Joy,Joy
89,reasoning,Joy,Joy,Neutral,Joy,Joy
90,direct,Joy,Joy,Joy,Joy,Joy
90,reasoning,Joy,Joy,Joy,Joy,Joy
91,direct,Neutral,Neutral,Neutral,Neutral,Neutral
91,reasoning,Neutral,Neutral,Anger,Joy,Neutral
92,direct,Anger,Anger,Anger,Anger,Anger
92,reasoning,Anger,Neutral,Anger,Anger,Anger
93,direct,Joy,Neutral,Neutral,Neutral,Neutral
93,reasoning,Fear,Joy,Neutral,Neutral,Neutral
94,direct,Neutral,Anger,Anger,Joy,Anger
94,reasoning,Anger,Anger,Anger,Anger,Anger
95,direct,Neutral,Neutral,Neutral,Neutral,Neutral
95,reasoning,Anger,Anger,Fear,Joy,Neutral
96,direct,Joy,Joy,Joy,Joy,Joy
96,reasoning,Joy,Joy,Joy,Joy,Joy
97,direct,Fear,Fear,Fear,Fear,Fear
97,reasoning,Neutral,Anger,Fear,Fear,Anger
98,direct,Joy,Joy,Joy,Joy,Joy
98,reasoning,Neutral,Joy,Joy,Neutral,Joy
99,direct,Anger,Anger,Anger,Anger,Anger
99,reasoning,Joy,Anger,Anger,Anger,Anger
100,direct,Joy,Joy,Joy,Joy,Joy
100,reasoning,Joy,Joy,Joy,Joy,Joy
